trial,gen,CR,Faith,AR,W-Score,bm25_k,vec_k,rrf_k,rerank_k,thresh,fk,reranker,reranker_type,fusion,alpha,mode,adapt_thresh
410,15,0.8324,0.9216,0.8732,2.8988,27,142,79,38,0.0163,3,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.87,fixed,0.127
411,15,0.8123,0.9428,0.8718,2.9027,29,19,122,16,0.1245,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.86,adaptive,0.201
412,15,0.8322,0.9530,0.8818,2.9458,235,269,79,49,0.1245,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.45,fixed,0.079
413,15,0.8264,0.8681,0.8659,2.8206,482,94,257,18,0.0334,10,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.80,fixed,0.245
414,15,0.8441,0.9327,0.8687,2.9189,15,197,250,18,0.1256,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.80,fixed,0.242
415,15,0.8468,0.9346,0.8803,2.9367,201,173,282,16,0.0163,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.86,fixed,0.127
416,15,0.8424,0.9419,0.8842,2.9453,482,109,79,32,0.0334,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.81,adaptive,0.140
417,15,0.8257,0.9304,0.8692,2.8984,69,230,79,32,0.1306,8,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.81,fixed,0.110
418,15,0.8336,0.9449,0.8687,2.9231,482,173,72,16,0.0685,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.55,adaptive,0.245
419,15,0.8423,0.9380,0.8773,2.9330,27,111,79,14,0.1472,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.21,fixed,0.139
420,16,0.8446,0.9371,0.8808,2.9379,317,152,257,32,0.0163,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.80,fixed,0.175
421,16,0.8470,0.9228,0.8663,2.9073,316,194,212,33,0.1571,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.28,adaptive,0.243
422,16,0.8358,0.8837,0.8714,2.8547,456,220,165,45,0.0370,9,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.45,adaptive,0.225
423,16,0.8454,0.9333,0.8828,2.9365,184,284,53,14,0.0163,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.45,fixed,0.143
424,16,0.7643,0.9023,0.8605,2.7936,491,150,212,45,0.2460,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.80,fixed,0.130
425,16,0.8302,0.9236,0.8720,2.8977,69,247,181,25,0.0334,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.29,fixed,0.067
426,16,0.8347,0.9145,0.8726,2.8920,334,230,212,25,0.1256,6,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.80,adaptive,0.148
427,16,0.7715,0.9172,0.8574,2.8153,69,169,72,10,0.1205,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.59,adaptive,0.246
428,16,0.8355,0.8957,0.8677,2.8649,334,128,139,43,0.0163,8,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.45,adaptive,0.229
429,16,0.8291,0.8926,0.8713,2.8586,61,230,14,14,0.0203,9,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.80,fixed,0.235
430,16,0.8522,0.9351,0.8776,2.9397,49,15,148,10,0.1332,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.34,fixed,0.122
431,16,0.8503,0.9184,0.8759,2.9158,404,91,23,18,0.2396,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.73,fixed,0.083
432,16,0.8459,0.9059,0.8626,2.8819,416,121,95,41,0.0085,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.72,adaptive,0.143
433,16,0.8538,0.9465,0.8771,2.9545,347,169,201,14,0.0163,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.89,fixed,0.130
434,16,0.8457,0.9357,0.8809,2.9376,48,145,128,18,0.1047,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.80,fixed,0.063
435,16,0.8229,0.8557,0.8724,2.8094,343,116,257,16,0.2377,5,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.19,adaptive,0.130
436,16,0.7927,0.9301,0.8730,2.8691,27,245,79,48,0.0832,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.74,adaptive,0.191
437,16,0.8312,0.9195,0.8675,2.8889,334,24,31,12,0.0224,5,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.45,adaptive,0.067
438,16,0.8254,0.8731,0.8736,2.8341,482,243,257,39,0.0334,10,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.29,fixed,0.178
439,16,0.8163,0.9262,0.8652,2.8795,490,145,79,34,0.0163,5,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.57,fixed,0.130
440,16,0.8407,0.9201,0.8773,2.9097,316,30,212,18,0.1722,4,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.18,adaptive,0.109
441,16,0.8418,0.9547,0.8829,2.9587,283,243,282,43,0.1404,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.80,fixed,0.205
442,16,0.8289,0.9188,0.8754,2.8944,143,116,154,21,0.0372,3,Alibaba-NLP/gte-reranker-modernbert-base,auto,rrf,0.86,fixed,0.105
443,16,0.8264,0.9001,0.8685,2.8619,61,230,79,14,0.0163,8,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.45,fixed,0.051
444,16,0.7573,0.8716,0.8577,2.7466,131,145,207,40,0.2377,4,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.18,fixed,0.188
445,16,0.8366,0.9217,0.8718,2.9016,186,129,212,18,0.0372,4,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.77,fixed,0.109
446,16,0.8065,0.9315,0.8730,2.8847,69,101,296,39,0.1983,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.83,fixed,0.130
447,16,0.8430,0.9377,0.8827,2.9392,307,269,79,25,0.1624,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.44,fixed,0.079
448,17,0.8428,0.9363,0.8790,2.9333,411,173,282,16,0.1289,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.29,fixed,0.177
449,17,0.8005,0.9236,0.8655,2.8610,411,116,257,14,0.1774,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.29,fixed,0.245
450,17,0.8169,0.9066,0.8661,2.8575,337,169,127,49,0.1915,10,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.59,adaptive,0.140
451,17,0.8326,0.9313,0.8722,2.9096,354,230,96,14,0.1306,9,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.89,adaptive,0.130
452,17,0.8097,0.9310,0.8701,2.8839,320,64,257,18,0.1628,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.80,adaptive,0.208
453,17,0.8480,0.9420,0.8812,2.9477,479,230,155,14,0.1110,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.71,fixed,0.130
454,17,0.8416,0.9220,0.8736,2.9090,69,169,131,14,0.0372,9,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.89,adaptive,0.144
455,17,0.8376,0.9363,0.8866,2.9364,27,145,266,18,0.1289,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.80,fixed,0.077
456,17,0.8353,0.9064,0.8790,2.8899,329,121,224,22,0.1630,5,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.86,adaptive,0.143
457,17,0.8436,0.9345,0.8812,2.9343,297,269,217,18,0.1332,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.39,fixed,0.062
458,17,0.8439,0.9225,0.8677,2.9053,64,194,257,12,0.0478,2,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.81,fixed,0.079
459,17,0.8339,0.9456,0.8774,2.9337,420,145,14,12,0.1306,5,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.45,fixed,0.075
460,17,0.8435,0.9603,0.8856,2.9701,411,72,72,14,0.1063,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.29,fixed,0.245
461,17,0.8291,0.9459,0.8711,2.9224,184,145,79,14,0.0832,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.11,fixed,0.143
462,17,0.8379,0.9396,0.8818,2.9354,27,145,79,29,0.0163,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.72,fixed,0.127
463,17,0.8331,0.9294,0.8743,2.9101,347,169,296,18,0.2377,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,rrf,0.89,adaptive,0.204
464,17,0.8484,0.9250,0.8666,2.9116,347,169,79,24,0.0334,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.31,fixed,0.054
465,17,0.7682,0.8688,0.8535,2.7496,347,95,234,14,0.0224,4,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.89,adaptive,0.239
466,17,0.8495,0.9189,0.8755,2.9152,307,256,257,18,0.0478,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.80,fixed,0.130
467,17,0.8472,0.9430,0.8808,2.9477,347,169,98,14,0.0211,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.81,adaptive,0.147
468,17,0.8448,0.9467,0.8831,2.9522,376,147,26,24,0.0372,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.88,fixed,0.177
469,17,0.7930,0.8889,0.8700,2.8167,48,145,288,48,0.1047,9,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.16,fixed,0.063
470,17,0.8283,0.9210,0.8755,2.8964,482,116,72,19,0.1205,3,Alibaba-NLP/gte-reranker-modernbert-base,auto,rrf,0.56,fixed,0.079
471,17,0.8459,0.9362,0.8802,2.9375,408,195,128,18,0.0163,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.86,adaptive,0.063
472,17,0.8454,0.9329,0.8820,2.9350,48,276,128,18,0.0762,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.67,adaptive,0.063
473,17,0.8129,0.9573,0.8792,2.9288,40,269,79,41,0.0411,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.11,fixed,0.176
474,17,0.8438,0.9601,0.8866,2.9712,343,140,79,18,0.0379,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.80,fixed,0.130
475,17,0.8316,0.9157,0.8684,2.8857,347,270,80,39,0.0163,6,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.89,fixed,0.130
476,18,0.8478,0.9176,0.8740,2.9104,297,169,169,18,0.1110,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.44,fixed,0.059
477,18,0.8465,0.9454,0.8796,2.9486,91,230,212,10,0.0163,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.59,adaptive,0.139
478,18,0.8449,0.9328,0.8825,2.9351,184,70,296,14,0.0172,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.45,adaptive,0.098
479,18,0.8538,0.9465,0.8771,2.9545,347,289,67,14,0.0372,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.89,fixed,0.239
480,18,0.8435,0.9603,0.8856,2.9701,411,72,286,14,0.1063,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.90,fixed,0.239
481,18,0.7642,0.9091,0.8565,2.7973,411,145,79,14,0.1289,8,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.81,adaptive,0.245
482,18,0.8172,0.9041,0.8661,2.8548,347,169,79,12,0.1575,10,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.25,adaptive,0.079
483,18,0.8446,0.9542,0.8817,2.9596,61,247,240,43,0.0334,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.80,fixed,0.130
484,18,0.7473,0.8972,0.8522,2.7613,343,116,257,39,0.2402,6,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.23,fixed,0.145
485,18,0.8459,0.9137,0.8640,2.8927,362,230,81,36,0.1683,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.89,fixed,0.130
486,18,0.8072,0.9142,0.8635,2.8541,334,57,174,18,0.0163,8,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.11,fixed,0.130
487,18,0.8432,0.9492,0.8857,2.9564,61,197,201,24,0.0163,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.73,fixed,0.083
488,18,0.8392,0.9519,0.8660,2.9341,27,145,23,10,0.0832,4,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.73,fixed,0.083
489,18,0.7657,0.9070,0.8620,2.8024,220,18,266,29,0.1289,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.80,adaptive,0.234
490,18,0.8495,0.9203,0.8736,2.9149,347,299,72,14,0.1289,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.29,fixed,0.245
491,18,0.8397,0.9432,0.8744,2.9334,482,247,79,10,0.0832,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.56,fixed,0.121
492,18,0.8433,0.9489,0.8862,2.9567,396,83,174,24,0.1659,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.83,fixed,0.070
493,18,0.8341,0.9227,0.8739,2.9026,376,254,157,19,0.0372,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,rrf,0.79,fixed,0.177
494,18,0.8148,0.9217,0.8689,2.8766,148,169,72,48,0.1475,5,Alibaba-NLP/gte-reranker-modernbert-base,auto,rrf,0.29,fixed,0.130
495,18,0.8493,0.9214,0.8755,2.9180,148,145,112,14,0.0211,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.48,adaptive,0.147
496,18,0.8336,0.9404,0.8700,2.9190,320,64,79,14,0.0372,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.45,fixed,0.188
497,18,0.8429,0.9439,0.8835,2.9473,49,258,127,18,0.0163,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.59,adaptive,0.130
498,18,0.8395,0.9482,0.8824,2.9479,49,283,127,30,0.1332,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.45,fixed,0.132
499,18,0.8346,0.9345,0.8763,2.9199,408,140,253,39,0.0372,4,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.89,fixed,0.130
500,18,0.8451,0.9444,0.8611,2.9256,347,200,281,16,0.2196,2,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.44,adaptive,0.135
501,18,0.8438,0.9601,0.8866,2.9712,283,121,79,18,0.0163,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.45,adaptive,0.076
502,18,0.8462,0.9362,0.8804,2.9381,334,230,212,18,0.1926,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.90,adaptive,0.155
503,18,0.8102,0.9028,0.8687,2.8491,500,64,25,32,0.0372,10,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.28,fixed,0.239
504,19,0.8425,0.9449,0.8875,2.9527,411,72,98,22,0.0615,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.29,fixed,0.050
505,19,0.8032,0.9196,0.8703,2.8641,184,284,53,14,0.0163,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.45,adaptive,0.188
506,19,0.8008,0.9344,0.8766,2.8863,120,145,202,14,0.1868,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.75,adaptive,0.177
507,19,0.8470,0.9220,0.8749,2.9158,91,230,212,17,0.0959,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.59,fixed,0.247
508,19,0.8481,0.9106,0.8669,2.8943,380,124,181,37,0.0242,2,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.86,fixed,0.076
509,19,0.8435,0.9339,0.8808,2.9329,30,284,211,20,0.0372,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.45,fixed,0.170
510,19,0.8475,0.9416,0.8808,2.9463,320,96,217,14,0.0372,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.71,fixed,0.153
511,19,0.7652,0.9126,0.8620,2.8085,411,158,286,25,0.2336,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.73,fixed,0.193
512,19,0.8412,0.9308,0.8684,2.9135,15,144,23,10,0.2306,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.73,adaptive,0.245
513,19,0.8322,0.9530,0.8818,2.9458,174,230,79,50,0.0379,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.80,adaptive,0.130
514,19,0.8461,0.9077,0.8644,2.8862,343,154,257,25,0.0372,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.89,adaptive,0.130
515,19,0.8330,0.9532,0.8829,2.9480,69,121,296,39,0.0372,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.29,fixed,0.050
516,19,0.8478,0.9176,0.8740,2.9104,334,230,212,18,0.0163,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.45,fixed,0.130
517,19,0.8434,0.9385,0.8817,2.9394,356,247,211,32,0.2419,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.67,adaptive,0.067
518,19,0.8468,0.9486,0.8663,2.9381,347,261,281,10,0.1624,3,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.89,fixed,0.129
519,19,0.8347,0.9187,0.8769,2.9019,74,72,261,16,0.0809,4,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.90,fixed,0.224
520,19,0.8428,0.9411,0.8831,2.9436,411,230,98,37,0.0163,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.45,fixed,0.130
521,19,0.8301,0.9287,0.8720,2.9037,334,194,257,12,0.2002,4,Alibaba-NLP/gte-reranker-modernbert-base,auto,rrf,0.64,fixed,0.060
522,19,0.8429,0.9122,0.8692,2.8937,184,169,93,43,0.0163,4,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.33,adaptive,0.137
523,19,0.7637,0.9135,0.8631,2.8093,334,230,209,23,0.0189,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.45,adaptive,0.245
524,19,0.8420,0.9391,0.8830,2.9402,27,145,79,36,0.1695,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.70,fixed,0.050
525,19,0.8475,0.9222,0.8756,2.9172,59,230,90,21,0.0372,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.59,adaptive,0.101
526,19,0.8482,0.9282,0.8656,2.9141,334,160,72,39,0.1306,2,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.45,adaptive,0.130
527,19,0.8272,0.9392,0.8811,2.9235,482,215,240,27,0.0334,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.29,fixed,0.130
528,19,0.8432,0.9364,0.8761,2.9306,411,230,86,14,0.0615,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.26,fixed,0.147
529,19,0.8424,0.9419,0.8842,2.9453,343,88,93,32,0.1659,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.90,adaptive,0.065
530,19,0.8446,0.9257,0.8819,2.9257,61,286,79,22,0.0276,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.62,fixed,0.103
531,19,0.7685,0.9093,0.8544,2.7995,334,14,212,18,0.0224,10,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.67,adaptive,0.244
532,20,0.8454,0.9370,0.8813,2.9392,184,147,14,24,0.0372,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.88,fixed,0.130
533,20,0.7350,0.9004,0.8576,2.7588,49,88,183,45,0.2369,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.18,fixed,0.081
534,20,0.8476,0.9431,0.8797,2.9470,15,197,79,14,0.0163,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.86,fixed,0.083
535,20,0.8373,0.9429,0.8837,2.9409,376,169,224,46,0.0372,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.88,adaptive,0.140
536,20,0.8464,0.9285,0.8704,2.9180,343,140,68,18,0.0379,2,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.46,fixed,0.140
537,20,0.8252,0.9295,0.8674,2.8947,480,247,72,26,0.0372,9,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.25,fixed,0.184
538,20,0.8344,0.9365,0.8729,2.9184,411,72,294,43,0.0163,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.83,fixed,0.137
539,20,0.8358,0.9389,0.8817,2.9323,411,72,23,22,0.0684,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.29,fixed,0.137
540,20,0.7647,0.9122,0.8616,2.8071,411,72,220,14,0.1289,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.61,adaptive,0.245
541,20,0.8440,0.9608,0.8859,2.9715,479,230,80,14,0.0163,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.45,fixed,0.130
542,20,0.8435,0.9446,0.8722,2.9364,184,230,79,14,0.0084,4,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.45,fixed,0.197
543,20,0.8444,0.9479,0.8803,2.9502,343,186,201,37,0.0249,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.80,fixed,0.130
544,20,0.8252,0.8958,0.8695,2.8566,343,189,257,12,0.0224,8,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.45,fixed,0.130
545,20,0.7691,0.9183,0.8560,2.8127,43,117,53,10,0.2306,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.45,fixed,0.083
546,20,0.8333,0.9363,0.8723,2.9163,91,64,211,33,0.0163,6,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.90,adaptive,0.139
547,20,0.7948,0.9085,0.8657,2.8372,91,270,212,10,0.1683,4,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.66,fixed,0.244
548,20,0.8376,0.9507,0.8737,2.9395,219,147,26,10,0.0334,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,rrf,0.29,fixed,0.245
549,20,0.8098,0.9409,0.8697,2.8955,500,72,28,14,0.2071,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.44,fixed,0.245
550,20,0.8492,0.9203,0.8736,2.9146,27,95,139,14,0.0163,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.43,adaptive,0.181
551,20,0.8339,0.9279,0.8771,2.9122,137,230,56,16,0.0163,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,rrf,0.65,fixed,0.072
552,20,0.8425,0.9389,0.8871,2.9449,151,100,72,24,0.0662,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.39,adaptive,0.121
553,20,0.7676,0.9079,0.8598,2.8028,69,169,296,39,0.0372,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.59,adaptive,0.233
554,20,0.8309,0.8828,0.8681,2.8452,347,287,105,24,0.1289,10,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.59,adaptive,0.151
555,20,0.8098,0.9314,0.8694,2.8838,105,254,72,24,0.2154,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.88,fixed,0.177
556,20,0.8010,0.9348,0.8755,2.8858,343,259,79,18,0.1883,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.80,fixed,0.177
557,20,0.8424,0.9419,0.8842,2.9453,225,121,79,35,0.0443,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.45,fixed,0.189
558,20,0.8478,0.9385,0.8775,2.9393,91,76,44,10,0.0163,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.80,adaptive,0.083
559,20,0.8458,0.9464,0.8789,2.9482,10,219,296,39,0.0224,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.45,fixed,0.101
560,21,0.8427,0.9365,0.8758,2.9299,15,247,56,13,0.0334,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.23,fixed,0.083
561,21,0.8436,0.9345,0.8812,2.9343,283,269,80,18,0.0918,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.45,adaptive,0.143
562,21,0.8417,0.9532,0.8814,2.9550,119,247,296,39,0.1322,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.80,adaptive,0.130
563,21,0.8465,0.9293,0.8622,2.9101,334,230,72,19,0.1306,2,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.55,adaptive,0.130
564,21,0.8365,0.9139,0.8793,2.9004,184,130,14,14,0.0334,5,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.66,adaptive,0.130
565,21,0.8455,0.9344,0.8806,2.9355,184,230,59,14,0.1275,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.43,fixed,0.130
566,21,0.8325,0.9311,0.8727,2.9098,61,263,201,43,0.1597,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.80,fixed,0.130
567,21,0.8458,0.9409,0.8827,2.9458,334,51,72,24,0.1306,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.45,adaptive,0.130
568,21,0.8454,0.9333,0.8828,2.9365,184,157,14,14,0.0163,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.45,fixed,0.209
569,21,0.8299,0.9310,0.8732,2.9075,91,30,148,43,0.0334,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.80,adaptive,0.130
570,21,0.8311,0.9420,0.8818,2.9315,343,83,257,39,0.0224,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.45,adaptive,0.101
571,21,0.8492,0.9198,0.8743,2.9147,413,194,14,14,0.0163,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.45,adaptive,0.244
572,21,0.8322,0.9462,0.8804,2.9360,424,151,107,42,0.1156,3,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.45,fixed,0.221
573,21,0.8432,0.9559,0.8806,2.9589,443,64,211,32,0.0372,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.90,adaptive,0.067
574,21,0.8327,0.9336,0.8740,2.9144,376,197,26,46,0.0372,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,rrf,0.88,fixed,0.177
575,21,0.8434,0.9385,0.8817,2.9394,15,197,123,32,0.1256,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.16,fixed,0.125
576,21,0.8291,0.9117,0.8718,2.8821,404,140,79,18,0.1112,10,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.55,fixed,0.130
577,21,0.8439,0.9355,0.8833,2.9382,167,230,74,24,0.0963,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.45,adaptive,0.130
578,21,0.7999,0.9236,0.8689,2.8641,347,169,145,10,0.1624,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.44,adaptive,0.182
579,21,0.8507,0.9234,0.8653,2.9106,343,140,79,29,0.1624,2,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.80,fixed,0.239
580,21,0.8348,0.9275,0.8719,2.9069,479,116,169,12,0.1110,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.70,fixed,0.130
581,21,0.8480,0.9258,0.8744,2.9209,10,243,160,14,0.0224,2,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.89,fixed,0.089
