trial,gen,CR,Faith,AR,W-Score,bm25_k,vec_k,rrf_k,rerank_k,thresh,fk,reranker,reranker_type,fusion,alpha,mode,adapt_thresh
198,8,0.8501,0.9221,0.8671,2.9105,182,121,257,32,0.0131,2,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.55,fixed,0.188
199,8,0.8462,0.9225,0.8664,2.9063,403,270,68,49,0.1887,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.23,fixed,0.071
200,8,0.8256,0.8854,0.8707,2.8458,367,269,79,36,0.0334,8,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.67,adaptive,0.067
201,8,0.7938,0.8839,0.8656,2.8067,485,88,263,18,0.1800,9,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.66,fixed,0.199
202,8,0.8379,0.9534,0.8816,2.9518,352,108,55,43,0.0246,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.58,fixed,0.109
203,8,0.8509,0.9289,0.8768,2.9300,449,169,63,10,0.1628,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.75,fixed,0.140
204,8,0.8343,0.9286,0.8811,2.9178,265,264,296,39,0.0163,3,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.61,adaptive,0.157
205,8,0.8484,0.9258,0.8760,2.9230,268,269,79,24,0.1424,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.69,fixed,0.066
206,8,0.7831,0.9139,0.8707,2.8376,39,81,56,45,0.1887,3,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.60,fixed,0.214
207,8,0.8482,0.9433,0.8782,2.9461,15,197,23,10,0.1256,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.73,fixed,0.083
208,8,0.8438,0.9195,0.8592,2.8922,184,201,14,21,0.0832,6,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.90,fixed,0.245
209,8,0.8428,0.9411,0.8831,2.9436,200,199,68,34,0.1628,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.64,adaptive,0.130
210,8,0.8252,0.9188,0.8701,2.8849,45,18,84,32,0.1256,6,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.59,fixed,0.083
211,8,0.8429,0.9393,0.8828,2.9411,15,88,117,34,0.2470,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.56,adaptive,0.138
212,8,0.8460,0.9081,0.8633,2.8854,366,88,204,29,0.0832,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.83,adaptive,0.067
213,8,0.8441,0.9379,0.8819,2.9396,113,64,257,32,0.0843,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.80,fixed,0.175
214,8,0.8459,0.9362,0.8802,2.9375,320,223,257,24,0.0372,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.81,fixed,0.135
215,8,0.8284,0.9304,0.8768,2.9094,361,88,274,24,0.0334,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.49,adaptive,0.175
216,8,0.8247,0.9207,0.8774,2.8947,131,269,14,24,0.0334,9,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.39,adaptive,0.169
217,8,0.8270,0.9331,0.8817,2.9166,283,57,257,49,0.1008,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.60,fixed,0.130
218,8,0.8217,0.8952,0.8713,2.8544,52,64,292,20,0.1659,4,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.46,fixed,0.083
219,8,0.8338,0.9199,0.8666,2.8910,200,88,78,34,0.1628,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,rrf,0.37,fixed,0.216
220,8,0.8387,0.8500,0.8691,2.8147,221,247,82,35,0.2049,8,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.45,adaptive,0.211
221,8,0.8468,0.9346,0.8803,2.9367,297,269,257,18,0.1332,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.80,fixed,0.208
222,8,0.8307,0.9401,0.8721,2.9180,258,269,79,21,0.0334,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.46,fixed,0.237
223,8,0.8136,0.9001,0.8743,2.8554,265,270,14,22,0.0122,6,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.13,fixed,0.067
224,9,0.8225,0.8530,0.8700,2.8030,52,53,128,50,0.1256,10,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.10,fixed,0.240
225,9,0.8461,0.9137,0.8648,2.8938,15,197,23,36,0.1256,2,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.66,fixed,0.239
226,9,0.8424,0.9419,0.8842,2.9453,113,64,160,32,0.1248,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.80,adaptive,0.067
227,9,0.8482,0.9433,0.8782,2.9461,355,197,23,10,0.0843,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.64,fixed,0.175
228,9,0.8384,0.9527,0.8805,2.9501,227,169,63,45,0.0484,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.75,adaptive,0.130
229,9,0.8024,0.9288,0.8719,2.8760,258,255,68,48,0.1724,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.80,fixed,0.130
230,9,0.8235,0.9399,0.8800,2.9194,290,255,187,24,0.0334,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.12,fixed,0.067
231,9,0.8500,0.9102,0.8646,2.8932,467,129,210,37,0.2049,2,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.58,adaptive,0.180
232,9,0.8299,0.9138,0.8777,2.8919,69,269,63,14,0.0334,7,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.59,fixed,0.067
233,9,0.8512,0.9289,0.8768,2.9303,258,255,187,10,0.2444,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.66,fixed,0.239
234,9,0.8380,0.9421,0.8828,2.9396,209,145,263,42,0.1439,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.69,fixed,0.067
235,9,0.8384,0.9439,0.8755,2.9340,265,64,265,26,0.0843,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.81,fixed,0.135
236,9,0.8458,0.9115,0.8633,2.8892,223,223,257,43,0.0372,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.81,fixed,0.129
237,9,0.8361,0.8577,0.8671,2.8191,258,247,187,16,0.2049,8,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.45,fixed,0.130
238,9,0.8376,0.9235,0.8663,2.8986,69,88,31,18,0.1528,8,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.81,fixed,0.175
239,9,0.8086,0.9328,0.8703,2.8853,317,261,49,31,0.1224,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.56,adaptive,0.214
240,9,0.8328,0.9000,0.8748,2.8751,320,165,257,24,0.0843,7,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.67,fixed,0.135
241,9,0.7692,0.9164,0.8595,2.8143,479,247,15,16,0.0530,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.45,adaptive,0.230
242,9,0.8470,0.9220,0.8749,2.9158,129,88,279,18,0.1628,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.59,adaptive,0.101
243,9,0.7985,0.9292,0.8667,2.8669,317,267,49,14,0.0748,4,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.32,adaptive,0.206
244,9,0.7652,0.9051,0.8645,2.8022,406,199,130,14,0.0349,3,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.52,adaptive,0.239
245,9,0.8331,0.9404,0.8740,2.9230,15,199,216,34,0.0312,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.64,fixed,0.130
246,9,0.8350,0.9482,0.8798,2.9407,485,88,150,18,0.2025,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.76,fixed,0.227
247,9,0.8440,0.9606,0.8855,2.9708,297,269,63,18,0.1332,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.59,fixed,0.208
248,9,0.8204,0.8882,0.8672,2.8401,297,199,68,44,0.1628,10,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.38,adaptive,0.130
249,9,0.8461,0.9276,0.8644,2.9101,126,199,237,21,0.2065,2,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.60,adaptive,0.130
250,9,0.8332,0.9078,0.8713,2.8809,52,141,180,16,0.1855,9,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.60,fixed,0.055
251,9,0.8503,0.9299,0.8766,2.9304,258,196,186,10,0.1389,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.58,fixed,0.083
252,10,0.8352,0.9390,0.8799,2.9298,15,154,23,50,0.1256,3,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.73,fixed,0.083
253,10,0.8046,0.9372,0.8736,2.8902,362,211,207,18,0.1332,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.86,adaptive,0.214
254,10,0.8427,0.9223,0.8729,2.9096,343,89,33,18,0.1256,3,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.37,fixed,0.088
255,10,0.8424,0.9419,0.8842,2.9453,168,64,75,32,0.0163,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.74,fixed,0.067
256,10,0.8049,0.9280,0.8721,2.8779,124,129,63,32,0.2206,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.58,fixed,0.115
257,10,0.8446,0.9257,0.8819,2.9257,258,269,186,24,0.0866,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.58,fixed,0.083
258,10,0.8414,0.9530,0.8833,2.9567,352,129,187,39,0.1690,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.58,fixed,0.249
259,10,0.8459,0.9362,0.8802,2.9375,283,202,207,18,0.2377,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.86,adaptive,0.143
260,10,0.7942,0.8733,0.8588,2.7868,39,269,173,18,0.1628,10,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.81,adaptive,0.175
261,10,0.8376,0.9363,0.8866,2.9364,27,145,79,18,0.0832,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.81,fixed,0.140
262,10,0.8472,0.9288,0.8665,2.9149,258,196,230,24,0.1389,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.84,fixed,0.083
263,10,0.8436,0.9345,0.8812,2.9343,438,270,187,19,0.1028,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.45,fixed,0.199
264,10,0.7648,0.9055,0.8635,2.8013,297,270,63,16,0.2414,3,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.59,fixed,0.218
